Date,Open,High,Low,Close,Volume,Ticker,
19920713,1657.80005,1657.80005,1657.80005,1657.80005,603800000,XJO,
19920714,1657.30005,1657.30005,1657.30005,1657.30005,321200000,XJO,
19920715,1655.40002,1655.40002,1655.40002,1655.40002,435900000,XJO,
19920716,1658,1658,1658,1658,412700000,XJO,
19920717,1647.80005,1647.80005,1647.80005,1647.80005,340400000,XJO,
19920720,1620.59998,1620.59998,1620.59998,1620.59998,265200000,XJO,
19920721,1624.80005,1624.80005,1624.80005,1624.80005,356500000,XJO,
19920722,1623.30005,1623.30005,1623.30005,1623.30005,179300000,XJO,
19920723,1626.69995,1626.69995,1626.69995,1626.69995,58600000,XJO,
19920724,1625.69995,1625.69995,1625.69995,1625.69995,379300000,XJO,
19920727,1622.5,1622.5,1622.5,1622.5,218200000,XJO,
19920728,1622.09998,1622.09998,1622.09998,1622.09998,327800000,XJO,
19920729,1628.80005,1628.80005,1628.80005,1628.80005,512300000,XJO,
19920730,1636.69995,1636.69995,1636.69995,1636.69995,416400000,XJO,
19920731,1633.30005,1633.30005,1633.30005,1633.30005,557200000,XJO,
19920803,1632.80005,1632.80005,1632.80005,1632.80005,350500000,XJO,
19920804,1627.5,1627.5,1627.5,1627.5,149600000,XJO,
19920805,1619.59998,1619.59998,1619.59998,1619.59998,482500000,XJO,
19920806,1602.30005,1602.30005,1602.30005,1602.30005,202400000,XJO,
19920807,1600.09998,1600.09998,1600.09998,1600.09998,299400000,XJO,
19920810,1606.30005,1606.30005,1606.30005,1606.30005,213700000,XJO,
19920811,1600.59998,1600.59998,1600.59998,1600.59998,250800000,XJO,
19920812,1582.80005,1582.80005,1582.80005,1582.80005,217300000,XJO,
19920813,1580.59998,1580.59998,1580.59998,1580.59998,453100000,XJO,
19920814,1560,1560,1560,1560,842300032,XJO,
19920817,1571,1571,1571,1571,277100000,XJO,
19920818,1576.40002,1576.40002,1576.40002,1576.40002,499700000,XJO,
19920819,1572.69995,1572.69995,1572.69995,1572.69995,135400000,XJO,
19920820,1564,1564,1564,1564,311900000,XJO,
19920821,1570.40002,1570.40002,1570.40002,1570.40002,275900000,XJO,
19920824,1549.5,1549.5,1549.5,1549.5,163100000,XJO,
19920825,1526.5,1526.5,1526.5,1526.5,64400000,XJO,
19920826,1545,1545,1545,1545,490300000,XJO,
19920827,1554.09998,1554.09998,1554.09998,1554.09998,481600000,XJO,
19920828,1565.09998,1565.09998,1565.09998,1565.09998,987600000,XJO,
19920831,1557.90002,1557.90002,1557.90002,1557.90002,254300000,XJO,
19920901,1551,1551,1551,1551,468300000,XJO,
19920902,1536.69995,1536.69995,1536.69995,1536.69995,791900032,XJO,
19920903,1534.90002,1534.90002,1534.90002,1534.90002,580000000,XJO,
19920904,1539.09998,1539.09998,1539.09998,1539.09998,473500000,XJO,
19920907,1521.69995,1521.69995,1521.69995,1521.69995,986400000,XJO,
19920908,1508.30005,1508.30005,1508.30005,1508.30005,586700032,XJO,
19920909,1483.90002,1483.90002,1483.90002,1483.90002,307800000,XJO,
19920910,1489.40002,1489.40002,1489.40002,1489.40002,271200000,XJO,
19920911,1507.90002,1507.90002,1507.90002,1507.90002,228100000,XJO,
19920914,1546.30005,1546.30005,1546.30005,1546.30005,368500000,XJO,
19920915,1539.09998,1539.09998,1539.09998,1539.09998,585400000,XJO,
19920916,1513.5,1513.5,1513.5,1513.5,401600000,XJO,
19920917,1519.09998,1519.09998,1519.09998,1519.09998,536000000,XJO,
19920918,1532.19995,1532.19995,1532.19995,1532.19995,473100000,XJO,
19920921,1540.80005,1540.80005,1540.80005,1540.80005,144800000,XJO,
19920922,1529.19995,1529.19995,1529.19995,1529.19995,252600000,XJO,
19920923,1513,1513,1513,1513,386600000,XJO,
19920924,1515.19995,1515.19995,1515.19995,1515.19995,324900000,XJO,
19920925,1502.59998,1502.59998,1502.59998,1502.59998,163100000,XJO,
19920928,1500,1500,1500,1500,567000000,XJO,
19920929,1490.59998,1490.59998,1490.59998,1490.59998,487400000,XJO,
19920930,1487.90002,1487.90002,1487.90002,1487.90002,306900000,XJO,
19921001,1474.69995,1474.69995,1474.69995,1474.69995,317900000,XJO,
19921002,1486.69995,1486.69995,1486.69995,1486.69995,438300000,XJO,
19921005,1469.30005,1469.30005,1469.30005,1469.30005,118800000,XJO,
19921006,1455.09998,1455.09998,1455.09998,1455.09998,159600000,XJO,
19921007,1457.80005,1457.80005,1457.80005,1457.80005,226200000,XJO,
19921008,1469.19995,1469.19995,1469.19995,1469.19995,369200000,XJO,
19921009,1469.40002,1469.40002,1469.40002,1469.40002,163700000,XJO,
19921012,1465.09998,1465.09998,1465.09998,1465.09998,140200000,XJO,
19921013,1458,1458,1458,1458,222500000,XJO,
