Rank,Ticker,Company,Mkt Cap
128,TNE,Technology One Ltd,3972795486.00
129,Z1P,ZIP Co Ltd,3971256685.00
130,APE,Eagers Automotive Ltd,3846288597.00
131,AMP,AMP Ltd,3805013319.00
132,BKW,Brickworks Ltd,3721539257.00
133,VEA,Viva Energy Group Ltd,3713645275.00
134,DHG,Domain Holdings Australia Ltd,3412099944.00
135,CTD,Corporate Travel Management Ltd,3329738158.00
136,SGR,The Star Entertainment Group Ltd,3322529593.00
137,GOZ,Growthpoint Properties Australia,3273521621.00
138,GNE,Genesis Energy Ltd,3255934191.00
139,VUK,Virgin Money Uk Plc,3249490880.00
140,PNI,Pinnacle Investment Management Group Ltd,3246856475.00
141,SNZ,Summerset Group Holdings Ltd,3243734507.00
142,LTR,Liontown Resources Ltd,3210779682.00
143,CLW,Charter Hall Long Wale REIT,3164841248.00
144,NHF,Nib Holdings Ltd,3158776964.00
145,SCP,Shopping Centres Australasia Property Group,3152948546.00
146,BPT,Beach Energy Ltd,3148240445.00
147,HLS,Healius Ltd,3078398356.00
148,ABP,Abacus Property Group,3061104787.00
149,WHC,Whitehaven Coal Ltd,2984341830.00
150,MGF,Magellan Global Fund,2976768716.00
151,NVX,Novonix Ltd,2962942727.00
152,IFL,IOOF Holdings Ltd,2960919063.00
153,VTS,Vanguard US Total Market Shares INDEX ETF,2927030500.00
154,NSR,National Storage REIT,2923196999.00
155,SUL,Super Retail Group Ltd,2895095730.00
156,SGM,Sims Ltd,2876078489.00
157,CSR,CSR Ltd,2863758378.00
158,PXA,Pexa Group Ltd,2837212608.00
159,ORA,Orora Ltd,2829563279.00
160,PBH,Pointsbet Holdings Ltd,2793889464.00
161,UWL,Uniti Group Ltd,2786113908.00
162,CNU,Chorus Ltd,2759367968.00
163,MP1,Megaport Ltd,2755954580.00
164,BWP,BWP Trust,2749402677.00
165,BAP,Bapcor Ltd,2718694125.00
166,PDL,Pendal Group Ltd,2697879103.00
167,NIC,Nickel Mines Ltd,2653355649.00
168,CNI,Centuria Capital Group,2615463067.00
169,EVT,Event Hospitality and Entertainment Ltd  ,2577516381.00
170,AAA,Betashares Australian High Interest Cash ETF,2504779839.00
171,IOO,Ishares Global 100 ETF,2496477125.00
172,PDN,Paladin Energy Ltd,2477211007.00
173,ZIM,Zimplats Holdings Ltd,2465978539.00
174,IMU,Imugene Ltd  ,2445187825.00
175,LIC,Lifestyle Communities Ltd,2429628844.00
176,CHN,Chalice Mining Ltd,2424685297.00
177,CQR,Charter Hall Retail REIT,2406058649.00
178,WEB,Webjet Ltd,2404822056.00
179,QUAL,Vaneck MSCI International Quality ETF,2399662214.00
180,VAP,Vanguard Australian Property Securities INDEX ETF,2388131069.00
181,BFL,BSP Financial Group Ltd,2373494989.00
182,CDA,Codan Ltd,2369579549.00
183,CIP,Centuria Industrial REIT,2367842018.00
184,CRN,Coronado Global Resources Inc,2355417491.00
185,CIA,Champion Iron Ltd,2339992467.00
186,VEU,Vanguard All-World Ex-US Shares INDEX ETF,2334893381.00
187,NDQ,Betashares Nasdaq 100 ETF,2332288115.00
188,PPT,Perpetual Ltd,2319221678.00
189,HMC,Home Consortium,2293104205.00
190,LNK,Link Administration Holdings Ltd,2290672820.00
191,IRE,Iress Ltd,2282867464.00
192,SKC,Skycity Entertainment Group Ltd,2280615627.00
193,SFR,Sandfire Resources Ltd,2267199868.00
194,DDR,Dicker Data Ltd,2264118365.00
195,LOV,Lovisa Holdings Ltd,2245906601.00
196,HUB,HUB24 Ltd,2236476333.00
197,CCP,Credit Corp Group Ltd,2225459257.00
198,LFS,Latitude Group Holdings Ltd,2220000000.00
199,WPR,Waypoint REIT,2213762257.00
200,INA,Ingenia Communities Group,2196804606.00
201,CMW,Cromwell Property Group,2146325953.00
202,DRR,Deterra Royalties Ltd,2098157418.00
203,ABC,Adbri Ltd,2062303074.00
204,WAM,WAM Capital Ltd,2058494045.00
205,HYGG,Hyperion GBL Growth Companies Fund (Managed Fund),2036281129.00
206,TYR,Tyro Payments Ltd,2007051002.00
207,PRU,Perseus Mining Ltd,1999960399.00
208,AVN,Aventus Group,1986137985.00
209,PPH,Pushpay Holdings Ltd,1983346016.00
210,IPH,IPH Ltd,1968607442.00
211,CEN,Contact Energy Ltd,1957712696.00
212,NHC,New Hope Corporation Ltd,1956039143.00
213,BKL,Blackmores Ltd,1952575100.00
214,OCL,Objective Corporation Ltd,1937449583.00
215,CUV,Clinuvel Pharmaceuticals Ltd,1936391146.00
216,VHY,Vanguard Australian Shares High Yield ETF,1876695340.00
217,LFG,Liberty Financial Group,1873212000.00
218,ETHI,Betashares Global Sustainability Leaders ETF,1837709287.00
219,ZEL,Z Energy Ltd,1811259448.00
220,PTM,Platinum Asset Management Ltd,1806971012.00
221,VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF,1805378598.00
222,AIZ,Air New Zealand Ltd,1796550763.00
223,ELD,Elders Ltd,1793221538.00
224,LSF,L1 Long Short Fund Ltd,1780685946.00
225,JHG,Janus Henderson Group Plc,1776396817.00
226,IAF,Ishares Core Composite Bond ETF,1767552105.00
227,NAN,Nanosonics Ltd,1749403412.00
228,A200,Betashares Australia 200 ETF,1738672949.00
229,NUF,Nufarm Ltd,1724778307.00
230,MVW,Vaneck Australian EQUAL Weight ETF,1710354925.00
231,AUB,AUB Group Ltd,1704584345.00
